frame_id,condition,region_sources,n_annotation_regions,n_fallback_regions,n_model_regions,ground_truth_label,model_prediction,prediction_confidence,semantic_source
6d1d793b68b24165be5755a54054c82a,dropout_5pct,"{'fallback': np.int64(728), 'annotation': np.int64(23)}",23,728,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
6d1d793b68b24165be5755a54054c82a,dropout_10pct,"{'fallback': np.int64(718), 'annotation': np.int64(23)}",23,718,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
6d1d793b68b24165be5755a54054c82a,dropout_20pct,"{'fallback': np.int64(702), 'annotation': np.int64(23)}",23,702,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
6d1d793b68b24165be5755a54054c82a,dropout_30pct,"{'fallback': np.int64(683), 'annotation': np.int64(22)}",22,683,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
6d1d793b68b24165be5755a54054c82a,sparse_75pct,"{'fallback': np.int64(698), 'annotation': np.int64(22)}",22,698,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
6d1d793b68b24165be5755a54054c82a,sparse_50pct,"{'fallback': np.int64(645), 'annotation': np.int64(20)}",20,645,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
6d1d793b68b24165be5755a54054c82a,sparse_25pct,"{'fallback': np.int64(555), 'annotation': np.int64(12)}",12,555,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
6d1d793b68b24165be5755a54054c82a,noise_low,"{'fallback': np.int64(733), 'annotation': np.int64(22)}",22,733,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
6d1d793b68b24165be5755a54054c82a,noise_medium,"{'fallback': np.int64(735), 'annotation': np.int64(23)}",23,735,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
6d1d793b68b24165be5755a54054c82a,noise_high,"{'fallback': np.int64(736), 'annotation': np.int64(23)}",23,736,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
b26e791522294bec90f86fd72226e35c,original,"{'fallback': np.int64(1014), 'annotation': np.int64(118)}",118,1014,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
b26e791522294bec90f86fd72226e35c,dropout_5pct,"{'fallback': np.int64(1006), 'annotation': np.int64(117)}",117,1006,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
b26e791522294bec90f86fd72226e35c,dropout_10pct,"{'fallback': np.int64(991), 'annotation': np.int64(115)}",115,991,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
b26e791522294bec90f86fd72226e35c,dropout_20pct,"{'fallback': np.int64(963), 'annotation': np.int64(114)}",114,963,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
b26e791522294bec90f86fd72226e35c,dropout_30pct,"{'fallback': np.int64(922), 'annotation': np.int64(112)}",112,922,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
b26e791522294bec90f86fd72226e35c,sparse_75pct,"{'fallback': np.int64(935), 'annotation': np.int64(113)}",113,935,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
b26e791522294bec90f86fd72226e35c,sparse_50pct,"{'fallback': np.int64(829), 'annotation': np.int64(102)}",102,829,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
b26e791522294bec90f86fd72226e35c,sparse_25pct,"{'fallback': np.int64(646), 'annotation': np.int64(77)}",77,646,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
b26e791522294bec90f86fd72226e35c,noise_low,"{'fallback': np.int64(1017), 'annotation': np.int64(119)}",119,1017,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
b26e791522294bec90f86fd72226e35c,noise_medium,"{'fallback': np.int64(1021), 'annotation': np.int64(117)}",117,1021,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
b26e791522294bec90f86fd72226e35c,noise_high,"{'fallback': np.int64(1022), 'annotation': np.int64(117)}",117,1022,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
dc4c80e8a1534ff8a3eb80307341161c,original,"{'fallback': np.int64(1225), 'annotation': np.int64(32)}",32,1225,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
dc4c80e8a1534ff8a3eb80307341161c,dropout_5pct,"{'fallback': np.int64(1213), 'annotation': np.int64(31)}",31,1213,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
dc4c80e8a1534ff8a3eb80307341161c,dropout_10pct,"{'fallback': np.int64(1204), 'annotation': np.int64(32)}",32,1204,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
dc4c80e8a1534ff8a3eb80307341161c,dropout_20pct,"{'fallback': np.int64(1169), 'annotation': np.int64(29)}",29,1169,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
dc4c80e8a1534ff8a3eb80307341161c,dropout_30pct,"{'fallback': np.int64(1137), 'annotation': np.int64(29)}",29,1137,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
dc4c80e8a1534ff8a3eb80307341161c,sparse_75pct,"{'fallback': np.int64(1153), 'annotation': np.int64(33)}",33,1153,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
dc4c80e8a1534ff8a3eb80307341161c,sparse_50pct,"{'fallback': np.int64(1020), 'annotation': np.int64(27)}",27,1020,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
dc4c80e8a1534ff8a3eb80307341161c,sparse_25pct,"{'fallback': np.int64(831), 'annotation': np.int64(24)}",24,831,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
dc4c80e8a1534ff8a3eb80307341161c,noise_low,"{'fallback': np.int64(1224), 'annotation': np.int64(32)}",32,1224,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
dc4c80e8a1534ff8a3eb80307341161c,noise_medium,"{'fallback': np.int64(1232), 'annotation': np.int64(31)}",31,1232,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
dc4c80e8a1534ff8a3eb80307341161c,noise_high,"{'fallback': np.int64(1231), 'annotation': np.int64(32)}",32,1231,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
c844bf5a9f2243ff8f4bf2c85fe218ff,original,"{'fallback': np.int64(953), 'annotation': np.int64(106)}",106,953,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
c844bf5a9f2243ff8f4bf2c85fe218ff,dropout_5pct,"{'fallback': np.int64(946), 'annotation': np.int64(103)}",103,946,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
c844bf5a9f2243ff8f4bf2c85fe218ff,dropout_10pct,"{'fallback': np.int64(934), 'annotation': np.int64(102)}",102,934,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
c844bf5a9f2243ff8f4bf2c85fe218ff,dropout_20pct,"{'fallback': np.int64(916), 'annotation': np.int64(95)}",95,916,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
c844bf5a9f2243ff8f4bf2c85fe218ff,dropout_30pct,"{'fallback': np.int64(881), 'annotation': np.int64(88)}",88,881,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
c844bf5a9f2243ff8f4bf2c85fe218ff,sparse_75pct,"{'fallback': np.int64(891), 'annotation': np.int64(98)}",98,891,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
c844bf5a9f2243ff8f4bf2c85fe218ff,sparse_50pct,"{'fallback': np.int64(794), 'annotation': np.int64(93)}",93,794,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
c844bf5a9f2243ff8f4bf2c85fe218ff,sparse_25pct,"{'fallback': np.int64(637), 'annotation': np.int64(79)}",79,637,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
c844bf5a9f2243ff8f4bf2c85fe218ff,noise_low,"{'fallback': np.int64(952), 'annotation': np.int64(106)}",106,952,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
c844bf5a9f2243ff8f4bf2c85fe218ff,noise_medium,"{'fallback': np.int64(951), 'annotation': np.int64(104)}",104,951,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
c844bf5a9f2243ff8f4bf2c85fe218ff,noise_high,"{'fallback': np.int64(953), 'annotation': np.int64(103)}",103,953,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
5c85640c10d9485c86bf6eb44778c002,original,"{'fallback': np.int64(429), 'annotation': np.int64(80)}",80,429,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
5c85640c10d9485c86bf6eb44778c002,dropout_5pct,"{'fallback': np.int64(427), 'annotation': np.int64(80)}",80,427,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
5c85640c10d9485c86bf6eb44778c002,dropout_10pct,"{'fallback': np.int64(423), 'annotation': np.int64(80)}",80,423,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
5c85640c10d9485c86bf6eb44778c002,dropout_20pct,"{'fallback': np.int64(418), 'annotation': np.int64(79)}",79,418,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
5c85640c10d9485c86bf6eb44778c002,dropout_30pct,"{'fallback': np.int64(410), 'annotation': np.int64(82)}",82,410,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
5c85640c10d9485c86bf6eb44778c002,sparse_75pct,"{'fallback': np.int64(414), 'annotation': np.int64(81)}",81,414,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
5c85640c10d9485c86bf6eb44778c002,sparse_50pct,"{'fallback': np.int64(396), 'annotation': np.int64(76)}",76,396,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
5c85640c10d9485c86bf6eb44778c002,sparse_25pct,"{'fallback': np.int64(364), 'annotation': np.int64(62)}",62,364,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
5c85640c10d9485c86bf6eb44778c002,noise_low,"{'fallback': np.int64(429), 'annotation': np.int64(77)}",77,429,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
5c85640c10d9485c86bf6eb44778c002,noise_medium,"{'fallback': np.int64(427), 'annotation': np.int64(79)}",79,427,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
5c85640c10d9485c86bf6eb44778c002,noise_high,"{'fallback': np.int64(434), 'annotation': np.int64(79)}",79,434,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
858a1ece22cf45d9bc71e42336604b78,original,"{'fallback': np.int64(977), 'annotation': np.int64(78)}",78,977,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
858a1ece22cf45d9bc71e42336604b78,dropout_5pct,"{'fallback': np.int64(967), 'annotation': np.int64(77)}",77,967,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
858a1ece22cf45d9bc71e42336604b78,dropout_10pct,"{'fallback': np.int64(955), 'annotation': np.int64(80)}",80,955,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
858a1ece22cf45d9bc71e42336604b78,dropout_20pct,"{'fallback': np.int64(935), 'annotation': np.int64(77)}",77,935,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
858a1ece22cf45d9bc71e42336604b78,dropout_30pct,"{'fallback': np.int64(909), 'annotation': np.int64(76)}",76,909,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
858a1ece22cf45d9bc71e42336604b78,sparse_75pct,"{'fallback': np.int64(907), 'annotation': np.int64(71)}",71,907,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
858a1ece22cf45d9bc71e42336604b78,sparse_50pct,"{'fallback': np.int64(832), 'annotation': np.int64(55)}",55,832,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
858a1ece22cf45d9bc71e42336604b78,sparse_25pct,"{'fallback': np.int64(701), 'annotation': np.int64(48)}",48,701,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
858a1ece22cf45d9bc71e42336604b78,noise_low,"{'fallback': np.int64(974), 'annotation': np.int64(77)}",77,974,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
858a1ece22cf45d9bc71e42336604b78,noise_medium,"{'fallback': np.int64(969), 'annotation': np.int64(83)}",83,969,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
858a1ece22cf45d9bc71e42336604b78,noise_high,"{'fallback': np.int64(970), 'annotation': np.int64(79)}",79,970,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
